time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,composite_signal
2026-01-14 14:30:00,SZ399303,国证2000,10907.154,1.18,104682503168.0,0,-1,1,-2,1474290155822.78,1.27,1.36,1.38,1.0982,0,0,0.0,1200514543616.0,1093206990848.0,945968263987.2,,-3
2026-01-14 14:30:00,SZ399673,创业50,3507.97,0.86,21826375936.0,-1,-1,1,-1,362066552004.14,1.25,1.29,1.4,1.1079,0,0,0.0,289451050496.0,261259602944.0,231703727104.0,,-3
2026-01-14 14:30:00,SZ399330,深证100,5935.05,0.27,29920069120.0,-1,-1,1,-1,427740014146.36,1.25,1.38,1.38,1.0821,1563,1256,55.45,347730617088.0,321334568960.0,277531752448.0,,-3
2026-01-14 14:30:00,SH000688,科创50,1505.84,2.47,8644237568.0,2,-1,1,-1,136449578260.63,1.31,1.2,1.4,1.2586,403,194,67.5,114890416256.0,91287688192.0,87707509862.4,,0
2026-01-14 14:30:00,SH000698,科创100,1644.65,1.67,7924533760.0,2,-1,1,-1,118083348669.88,1.23,1.19,1.35,1.0709,66,32,67.35,97133975808.0,90704503296.0,78889834905.6,,0
2026-01-14 14:30:00,SH000905,中证500,8255.885,1.38,63574825472.0,2,-1,1,-2,924237715799.08,1.31,1.44,1.44,1.1549,251,236,51.54,755088085504.0,653819330560.0,575605752627.2,,-1
2026-01-14 14:30:00,SZ399005,中小100,8766.109,0.4,23826019840.0,0,-1,1,-1,328614567910.81,1.27,1.53,1.41,1.1046,0,0,0.0,266208469248.0,241001837568.0,209543322009.6,,-2
2026-01-14 14:30:00,SZ399019,创业200,5164.59,2.2,21933040384.0,2,2,1,-2,338650319821.21,1.38,1.4,1.51,1.0998,0,0,0.0,276239485184.0,251173848064.0,199885842022.4,,2
2026-01-14 14:30:00,SH000852,中证1000,8284.404,0.99,68472178688.0,0,-1,1,-1,991751062251.11,1.28,1.33,1.38,1.1197,519,455,53.29,814016090112.0,727021162496.0,637274858291.2,,-2
2026-01-14 14:30:00,SH000699,科创200,1524.03,1.95,9030633472.0,2,-1,1,-2,127601895021.32,1.16,1.23,1.28,1.07,0,0,0.0,104140197760.0,97325002752.0,89551467417.6,,-1
2026-01-14 14:30:00,SZ399850,深证50,9251.841,0.45,19764130048.0,-1,-1,-1,-1,286424265062.03,1.32,1.37,1.45,1.1899,26,24,52.0,231966459136.0,194952317952.0,176275804774.4,,-3
2026-01-14 14:00:00,SZ399330,深证100,5888.37,-0.52,38680556544.0,-1,-1,-1,-1,427864032706.56,1.24,1.69,1.38,1.062,897,1966,31.33,317810547968.0,299270043648.0,255803489484.8,,-3
2026-01-14 14:00:00,SH000852,中证1000,8171.085,-0.39,86336559104.0,-1,-1,1,-1,998196584752.74,1.27,1.7,1.39,1.1046,295,693,29.86,745543911424.0,674967531520.0,585834147840.0,,-3
2026-01-14 14:00:00,SH000698,科创100,1615.93,-0.11,10681324032.0,-1,-1,1,-1,120336814223.32,1.23,1.56,1.37,1.0755,43,56,43.43,89209442048.0,82946202112.0,72245338931.2,,-3
2026-01-14 14:00:00,SZ399673,创业50,3467.54,-0.3,31173845504.0,-1,-1,-1,-1,366718038647.54,1.25,1.82,1.42,1.0922,0,0,0.0,267624674560.0,245022472192.0,214823469260.8,,-3
2026-01-14 14:00:00,SZ399019,创业200,5072.65,0.38,29445463296.0,-1,2,1,-2,342824538475.07,1.38,1.94,1.53,1.0864,0,0,0.0,254306444800.0,234089559040.0,184192922419.2,,-1
2026-01-14 14:00:00,SH000905,中证500,8140.046,-0.04,79801190400.0,-1,-1,1,-2,924621641740.29,1.3,1.76,1.45,1.1421,153,340,31.03,691513260032.0,605494747136.0,531480132812.8,,-4
2026-01-14 14:00:00,SH000699,科创200,1500.31,0.36,11687620480.0,-1,-1,1,-2,128339939435.23,1.16,1.57,1.29,1.0524,0,0,0.0,95109564288.0,90375468544.0,82238177382.4,,-4
2026-01-14 14:00:00,SZ399850,深证50,9174.003,-0.39,26073600512.0,-1,-1,-1,-1,289053824477.59,1.31,1.73,1.46,1.173,17,33,34.0,212202329088.0,180900020224.0,161833467904.0,,-3
2026-01-14 14:00:00,SZ399005,中小100,8671.93,-0.67,28342354944.0,-1,-1,1,-1,324189880227.23,1.25,1.76,1.39,1.0815,0,0,0.0,242382449408.0,224124549120.0,193920651468.8,,-3
2026-01-14 14:00:00,SH000688,科创50,1485.88,1.11,12723780352.0,-1,-1,1,-1,139575794702.49,1.32,1.75,1.43,1.2696,244,350,41.08,106246178688.0,83682887680.0,80529980620.8,,-3
2026-01-14 14:00:00,SZ399303,国证2000,10753.996,-0.24,127054393344.0,-1,-1,1,-2,1478453008130.7,1.26,1.65,1.39,1.0834,0,0,0.0,1095832040448.0,1011469295616.0,868847086796.8,,-4
2026-01-14 13:30:00,SH000852,中证1000,8276.204,0.89,154522507264.0,0,2,1,-2,954725116325.07,1.23,2.29,1.33,1.059,503,475,51.43,659207352320.0,622498381824.0,534966913433.6,,0
2026-01-14 13:30:00,SH000905,中证500,8241.988,1.21,131728546816.0,0,2,1,-2,884565368541.02,1.26,2.24,1.38,1.0972,237,245,49.17,611712069632.0,557517881344.0,486080531660.8,,0
